claim_id,claim,level,evidence,boundary
C1,"`P_theta(L|x)` is a well-defined CRF posterior event probability for finite `Y,T` and regular language `L`",Formal foundation,`docs/evidence/THEORY_AUDIT.md`; posterior algebra tests,supports the audit object; not a standalone novelty claim
C2,"Product automaton transfer computes `Z_{theta,L}(x)` exactly under explicit finite-context/local-factor assumptions",Formal foundation,"product transfer tests match brute force for accept-all, empty, exact-pattern, parity, low-probability events",product-automaton marginal inference is the known computational neighborhood; reference implementation is finite/sanity scale
C3,Hard-constrained decoding and posterior consistency are different objects,Main,R5a: constrained legality can be 1 while B0 `P(BIO|x)=0.0566`; B1 does not alter posterior mass,do not say hard constraints are useless
C4,"Event loss has a finite expectation-difference gradient when `Z_{theta,L}(x)>0`",Main-with-boundary,`docs/manuscript/THEORY_PROOF_PROSE.md` event-loss gradient proposition,training-signal statement only; no task-improvement theorem
C5,Semi-event training can raise posterior event mass,Main-with-boundary,"R5a, R1, R2, R4 all show positive B4 event-mass movement",secondary empirical evidence; not always task-metric dominant; not benchmark superiority
C6,WNUT17 exposes hidden posterior BIO conflict under diagnostic stress,Main-with-boundary,R5a B0 hidden conflict near 1 with entity F1 0; B4 raises BIO event mass,diagnostic stress only; no NER usefulness claim
C7,WNUT17 is learnable by the local CRF setup,Sanity / Appendix,R5b B0 entity F1 `0.1660` over 10 seeds,modest viability check only; no B4 NER improvement claim; not a main paper claim
C8,"In the evaluated field-style diagnostics, low `P_theta(L|x)` has positive ranking signal for exact error",Main-with-boundary,"R6a bottom/top gaps plus reanalysis: AUROC `0.7088`, AUPRC `0.8470`; uncertainty baselines are stronger and complementarity is not robust","evaluated field-style tasks only; not calibration, not all structured prediction, not uncertainty-baseline superiority, not robust residual predictiveness"
C9,"Hidden conflict can concentrate at low event mass in semi-real diagnostics, while real-source hidden conflict is often saturated or near zero",Main-with-boundary,R6a hidden-conflict gaps strongest on amount/date/product_code; R5a supports WNUT hidden conflict,real-source fields mostly saturated; do not generalize hidden-conflict concentration beyond evaluated diagnostics
C10,Reference product-transfer scaling can be discussed via product-state count,Main-with-boundary,"R8 varies sequence length, label count, DFA states, context order",reference CPU sanity only; no speed superiority
C11,Conditional nonnegative MPO/rank membership can be stated under explicit assumptions,Appendix,MPO sanity tests; `docs/evidence/THEORY_AUDIT.md` T3,not arbitrary low-rank advantage
C12,Positive-cone approximation bounds can be stated under nonnegativity and positivity assumptions,Appendix,`docs/evidence/THEORY_AUDIT.md` T4,posterior/log versions need denominator and strict positivity control
